"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"575JVZI6","journalArticle","2020","Musick, Kelly; Bea, Megan Doherty; Gonalons-Pons, Pilar","His and Her Earnings Following Parenthood in the United States, Germany, and the United Kingdom","American Sociological Review","","0003-1224","10.1177/0003122420934430","https://doi.org/10.1177/0003122420934430","This article advances a couple-level framework to examine how parenthood shapes within-family gender inequality by education in three countries that vary in their normative and policy context: the United States, Germany, and the United Kingdom. We trace mothers’ share of couple earnings and variation by her education in the 10-year window around first birth, using long-running harmonized panel surveys from the 1990s and 2000s (N = 4,117 couples and 28,488 couple-years) and an event study methodology that leverages within-couple variation in earnings pre- and post-birth. Our results show steep declines in her share of couple earnings following first birth across the three countries that persist over several years of follow-up. Declines are smallest in the United States, due to U.S. mothers’ higher employment and longer work hours. Declines are also smaller among female partners without a college degree in the United States, where mothers have less work-family support and fewer options to manage work and family on one income. Results shed light on how parenthood plays into gender inequality within couples, and how country context shapes couple dynamics and inequality across households.","2020-07","2020-07-20 09:35:26","2020-07-20 12:27:17","2020-07-20 09:35:25","","","","","","Am Sociol Rev","","","","","","","","en","","","","","SAGE Journals","","Publisher: SAGE Publications Inc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JZB88UQH","journalArticle","2003","松田, 素二","フィールド調査法の窮状を超えて","社会学評論","","","10.4057/jsr.53.4_499","","社会調査のなかでも近年, エスノグラフィーやライフヒストリーなどの手法を用いた研究の進展はめざましいものがある.こうした調査の興隆とは裏腹に, 方法論的にみると, フィールド調査に代表される質的調査は, 一貫して周縁的位置に置かれてきた.さらに1980年代半ばに起こった民族誌への根源的懐疑の思想運動は, フィールドワークとそれにもとづくエスノグラフィーの可能性を基本的に否定する方向に作用した.フィールド調査の未来はあるのだろうか.この問いかけを考えるとき, 1970年代に行われた社会調査をめぐる似田貝-中野「論争」は, 今日的意義を失っていない.調査する者とされる者とのあいだの「共同行為」として調査を再創造しようという似田貝と, そこに調和的で啓蒙的な思潮を読みとり, する者とされる者とのあいだの異質性をそのままにした関係性を強調する中野のあいだの論争は, 時代性を超えて, 2つの重要な問題を提起している.ひとつは, セルフをどのように捉えるかという問題であり, もうひとつは, 立場の異なるセルフ間の理解と交流はいかにして可能かという問題である.前者は, 共同性 (連帯性) をめぐる存在論の議論に連なり, 後者は, ロゴスと感性による対象把握に関わる認識論の議論につながっていく.本論では, フィールド調査における, 実感にもとづく認識と理解の可能性を検討する.","2003","2020-07-20 09:40:13","2020-07-20 11:53:53","","499-515","","4","53","","","","","","","","","","ja","","","","","J-Stage","","citation key: matsuda2003","","","","","commensurability; ethnography; fieldwork; エスノグラフイー; フイールドワーク; 共約可能性","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4NP4VYZ4","journalArticle","2020","Choi, Seongsoo; Chung, Inkwan; Breen, Richard","How Marriage Matters for the Intergenerational Mobility of Family Income: Heterogeneity by Gender, Life Course, and Birth Cohort","American Sociological Review","","0003-1224","10.1177/0003122420917591","https://doi.org/10.1177/0003122420917591","Adult children’s labor market status and their type of marriage are major channels through which family advantages are passed from one generation to the next. However, these two routes are seldom studied together. We develop a theoretical approach to incorporate marriage entry and marital sorting into the intergenerational transmission of family income, accounting for differences between sons and daughters and considering education as a central explanatory factor. Using a novel decomposition method applied to data from the Panel Study of Income Dynamics, we find that marriage plays a major role in intergenerational transmission only among daughters and not until they reach their late-30s. This is more salient in the recent cohort in our data (people born 1963 to 1975). Marital status and marital sorting are comparably important in accounting for the role of marriage, but sorting becomes more important over cohorts. The increasing earnings returns to education over a husband’s career and the weakening association between parental income and daughter’s own earnings explain why marital sorting, and marriage overall, have been growing more important for intergenerational transmission from parents to their daughters.","2020-06","2020-07-20 09:53:45","2020-07-20 09:53:45","2020-07-20 09:53:45","353-380","","3","85","","Am Sociol Rev","How Marriage Matters for the Intergenerational Mobility of Family Income","","","","","","","en","","","","","SAGE Journals","","Publisher: SAGE Publications Inc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPS43ZLP","book","2018","朴, 沙羅","家 (チベ) の歴史を書く","","","","","https://ci.nii.ac.jp/ncid/BB26803930","家 (チベ) の歴史を書く 朴沙羅著 筑摩書房, 2018.9","2018","2020-07-20 09:58:22","2020-07-20 15:45:05","2020-07-20 09:58:22","","","","","","","","","","","","筑摩書房","","ja","","","","","ci.nii.ac.jp","","citation key: paku2018","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UUZQ9PHZ","book","2013","Allison, Anne","Precarious Japan","","","","","https://ci.nii.ac.jp/ncid/BB14118917","Precarious Japan Anne Allison Duke University Press, 2013 : pbk : [hardback]","2013","2020-07-20 10:02:11","2020-07-20 12:18:07","2020-07-20 10:02:11","","","","","","","","","","","","Duke University Press","Durham","en","","","","","ci.nii.ac.jp","","Institution: Duke University Press","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WK28R57Y","book","2017","Imai, Kosuke","Quantitative social science : an introduction","","","","","https://ci.nii.ac.jp/ncid/BB23405953","Quantitative social science : an introduction Kosuke Imai Princeton University Press, c2017 : hardcover : pbk","2017","2020-07-20 10:03:57","2020-07-20 10:09:06","2020-07-20 10:03:57","","","","","","","Quantitative social science","","","","","Princeton University Press","","en>ja","","","","","ci.nii.ac.jp","","Institution: Princeton University Press alt-translator: 粕谷||祐子 alt-translator: 原田||勝孝 alt-translator: 久保||浩樹 alt-title: 社会科学のためのデータ分析入門 alt-issued: 2018 alt-publisher: 岩波書店","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2ZBMKFRN","bookSection","1995","Lonkila, M.","Grounded theory as an emerging paradigm for computer-assisted qualitative data analysis","Computer-aided qualitative analysis","","","","","","1995","2020-07-20 10:18:53","2020-07-20 10:19:39","","41-51","","","","","","","","","","","Sage","London","en","","","","","","","Citation Key: Lonkila1995","","","","","","Kelle, U.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KKAJUXXI","book","2009","松田, 素二","日常人類学宣言! : 生活世界の深層へ/から","","","","","https://ci.nii.ac.jp/ncid/BA90142800","日常人類学宣言! : 生活世界の深層へ/から 松田素二著 世界思想社, 2009.6","2009","2020-07-20 10:28:27","2020-07-20 10:30:49","2020-07-20 10:28:27","","","","","","","日常人類学宣言!","","","","","世界思想社","","ja","","","","","ci.nii.ac.jp","","Institution: 世界思想社 citation key: matsuda2009","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IFTI2CZ8","book","2014","","アフリカ社会を学ぶ人のために","","","","","https://ci.nii.ac.jp/ncid/BB15081845","アフリカ社会を学ぶ人のために 松田素二編 世界思想社, 2014.3","2014","2020-07-20 10:28:45","2020-07-20 10:30:25","2020-07-20 10:28:45","","","","","","","","","","","","世界思想社","","ja","","","","","ci.nii.ac.jp","","Institution: 世界思想社 citation key: matsuda2006","","","","","","松田, 素二","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7MQZKJZ3","report","2005","落合, 恵美子","前工業化期日本の家族とライフコースの社会学的研究 : 地域的多様性の解明と国際比較","","","","","https://ci.nii.ac.jp/ncid/BA76878300","前工業化期日本の家族とライフコースの社会学的研究 : 地域的多様性の解明と国際比較 落合恵美子研究代表 [落合恵美子], 2005.3","2005","2020-07-20 10:43:26","2020-07-20 10:47:29","2020-07-20 10:43:26","","","","","","","前工業化期日本の家族とライフコースの社会学的研究","","","","","","","ja","","平成13年度〜16年度科学研究費補助金(基盤研究(B)(1))研究成果報告書","","","ci.nii.ac.jp","","citation key: ochiai2005","","","","","","","","","","","","","","","","","","","","","","","","13410070","","","","","","","","","","","","","","","","","","","","","","","","","","",""
